size,dataset_id,sh_makespan,sh_sum_ct,sh_avg_ct,n_orders_x,greedy_makespan,greedy_sum_ct,greedy_avg_ct,ls_makespan,ls_sum_ct,ls_avg_ct,n_orders_y,best_sum_ct,winner_sum_ct,best_makespan,winner_makespan
small,17,8,26,6.5,7,,243.0,48.6,,312.0,62.4,7,26.0,scheduling_heuristic,,
small,18,10,34,8.5,7,,444.0,74.0,,373.5,74.7,7,34.0,scheduling_heuristic,,
small,19,11,35,8.75,6,,241.5,60.375,127.5,507.0,84.5,6,35.0,scheduling_heuristic,,
small,20,7,27,6.75,7,,273.0,54.6,105.0,550.5,78.64285714285714,7,27.0,scheduling_heuristic,,
small,21,9,32,8.0,7,,450.0,75.0,,328.5,65.7,7,32.0,scheduling_heuristic,,
small,22,9,30,7.5,7,,210.0,52.5,106.5,537.0,76.71428571428571,7,30.0,scheduling_heuristic,,
small,23,6,24,6.0,7,75.0,337.5,48.21428571428572,91.5,414.0,59.142857142857146,7,24.0,scheduling_heuristic,6.0,scheduling_heuristic
small,24,7,24,6.0,6,,160.5,32.1,91.5,438.0,73.0,6,24.0,scheduling_heuristic,,
small,25,8,26,6.5,6,,219.0,54.75,100.5,424.5,70.75,6,26.0,scheduling_heuristic,,
small,26,10,35,8.75,8,,355.5,71.1,,457.5,76.25,8,35.0,scheduling_heuristic,,
small,27,8,20,5.0,6,,210.0,42.0,,246.0,61.5,6,20.0,scheduling_heuristic,,
small,28,7,25,6.25,8,,259.5,51.9,91.5,493.5,61.6875,8,25.0,scheduling_heuristic,,
small,29,9,35,8.75,7,,285.0,71.25,,442.5,88.5,7,35.0,scheduling_heuristic,,
small,30,9,33,8.25,8,,262.5,52.5,,562.5,93.75,8,33.0,scheduling_heuristic,,
